architecture,campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,ac_facing_sources,short_circuit_strength_GVA,trials,p50_thdv_pct,p95_thdv_pct,p99_thdv_pct,mean_thdv_pct,max_individual_p95_pct,dominant_harmonic,exceeds_5pct_guide_p95
Traditional AC,1,0.25,69,10,coherent,20,1,2.5,600,3.9437252637220372,6.474643710301604,7.651915341584184,4.188400001316722,4.842892009670893,11,True
Local SST,1,0.25,69,10,coherent,20,1,2.5,600,1.532166116363028,2.4541979004930337,2.950462158850248,1.6004151700936373,1.9123520967163545,11,False
Subtransmission DC backbone,1,0.25,69,10,coherent,20,1,2.5,600,0.4895133404366236,0.7604476285513672,0.94378888045554,0.5084158734551604,0.5875520019848186,11,False
Traditional AC,1,0.25,69,10,coherent,50,1,2.5,600,4.428312499182827,6.914902392920748,8.484180351220955,4.6299407537086426,5.031389855295077,11,True
Local SST,1,0.25,69,10,coherent,50,1,2.5,600,1.704177326708869,2.72810488443642,3.130204233943606,1.8039080139520585,2.117778567611302,11,False
Subtransmission DC backbone,1,0.25,69,10,coherent,50,1,2.5,600,0.4970490726252496,0.8002452046912883,0.9598377537122901,0.5259278425802597,0.6374090765700249,11,False
Traditional AC,1,0.25,69,10,coherent,100,1,2.5,600,5.088401058559939,7.901563466909588,9.211704542161968,5.327688007641056,6.037746254496606,11,True
Local SST,1,0.25,69,10,coherent,100,1,2.5,600,1.8514652877814508,2.9332901566479173,3.5466882916686466,1.9682954663974264,2.298217679008937,11,False
Subtransmission DC backbone,1,0.25,69,10,coherent,100,1,2.5,600,0.5164949203712713,0.8432889842043265,0.9823338022174474,0.5440903662831381,0.6780529145968462,11,False
Traditional AC,1,0.25,69,20,random,5,1,5.0,600,1.7348686837526288,2.7682291998871342,3.1562737539390144,1.838628447243338,2.0735535603241235,11,False
Local SST,1,0.25,69,20,random,5,1,5.0,600,0.6648874950906523,1.0760098766495247,1.2056531295837822,0.6958816872823541,0.8288451469412815,11,False
Subtransmission DC backbone,1,0.25,69,20,random,5,1,5.0,600,0.23707923384919583,0.37538277919071683,0.45894149926807787,0.24838081713364588,0.2854745780601443,11,False
Traditional AC,1,0.25,69,20,random,20,1,5.0,600,1.9844723743309725,3.2231911653762717,3.7763787094239967,2.092806552971219,2.4392698338981584,11,False
Local SST,1,0.25,69,20,random,20,1,5.0,600,0.752391657633583,1.224618974295,1.4065864323697006,0.783764784524301,0.9313779701867189,11,False
Subtransmission DC backbone,1,0.25,69,20,random,20,1,5.0,600,0.24613360351982622,0.39576686195019767,0.47194981830912225,0.25817706314628214,0.3087867408891807,11,False
Traditional AC,1,0.25,69,20,random,50,1,5.0,600,2.269952413503246,3.6042813410498042,4.229998356758634,2.349716226023396,2.619029032615249,11,False
Local SST,1,0.25,69,20,random,50,1,5.0,600,0.8366998394616088,1.2781271521701694,1.5289150788336268,0.8659846568684287,0.994055032073778,11,False
Subtransmission DC backbone,1,0.25,69,20,random,50,1,5.0,600,0.25083646642394863,0.39680922108709415,0.46779040390828547,0.26455518628067887,0.30732045965749355,11,False
Traditional AC,1,0.25,69,20,random,100,1,5.0,600,2.559445571592776,4.003102243787652,4.670274920765326,2.673255547458192,2.9840902046988433,11,False
Local SST,1,0.25,69,20,random,100,1,5.0,600,0.9476462044895508,1.5148658322478734,1.7738742325024701,0.9944304048009481,1.1822877755699035,11,False
Subtransmission DC backbone,1,0.25,69,20,random,100,1,5.0,600,0.26401074332536045,0.427245991350594,0.4938706321255272,0.2755704743590386,0.33781520256291236,11,False
Traditional AC,1,0.25,69,20,partial,5,1,5.0,600,1.7553113073539441,2.8349342405885762,3.3555543158255987,1.846610878848904,2.155610982656216,11,False
Local SST,1,0.25,69,20,partial,5,1,5.0,600,0.6611483928231827,1.020922562230924,1.2344140984716068,0.6864179806164773,0.8011258527338859,11,False
Subtransmission DC backbone,1,0.25,69,20,partial,5,1,5.0,600,0.24228620090269373,0.3702303154276835,0.45735956586314436,0.25157828123171233,0.297900988654887,11,False
Traditional AC,1,0.25,69,20,partial,20,1,5.0,600,1.9904145841938226,3.150409553263816,3.548265833497368,2.0911837833263394,2.334568282916253,11,False
Local SST,1,0.25,69,20,partial,20,1,5.0,600,0.7490844925690177,1.1915029475136534,1.4216788680257804,0.7839588573635343,0.9278289448126451,11,False
Subtransmission DC backbone,1,0.25,69,20,partial,20,1,5.0,600,0.23594958639486488,0.3951856813753509,0.4563053572212086,0.2510257158959095,0.3158730824069152,11,False
Traditional AC,1,0.25,69,20,partial,50,1,5.0,600,2.238243101466616,3.6934096119527267,4.392736038097228,2.3737643016094334,2.8048896412527617,11,False
Local SST,1,0.25,69,20,partial,50,1,5.0,600,0.8505783929425105,1.3065054408385164,1.5111212594573502,0.8729208800297992,1.0110122039778273,11,False
Subtransmission DC backbone,1,0.25,69,20,partial,50,1,5.0,600,0.2503164486656162,0.39309779881616147,0.48423988384125366,0.26047190674320647,0.30771476377963936,11,False
Traditional AC,1,0.25,69,20,partial,100,1,5.0,600,2.5405223493858102,4.021743297611938,4.941039301961923,2.6481027548564544,2.951889527431448,11,False
Local SST,1,0.25,69,20,partial,100,1,5.0,600,0.9552648725971283,1.55194648808976,1.761558715038344,0.994918585999417,1.1998248967712961,11,False
Subtransmission DC backbone,1,0.25,69,20,partial,100,1,5.0,600,0.2544781451181558,0.3923720664066332,0.4620145558879361,0.2638625943371276,0.30126168647363466,11,False
Traditional AC,1,0.25,69,20,coherent,5,1,5.0,600,1.8348313958525941,2.8375755034695214,3.2693701124886463,1.8855888258075288,2.109914979014547,11,False
Local SST,1,0.25,69,20,coherent,5,1,5.0,600,0.6667103423448034,1.0583365456826437,1.276444762412071,0.6936912879502845,0.8337503552216613,11,False
Subtransmission DC backbone,1,0.25,69,20,coherent,5,1,5.0,600,0.23858229428953248,0.3726888690768788,0.45598937940228845,0.24820897523993868,0.2911344383851794,11,False
Traditional AC,1,0.25,69,20,coherent,20,1,5.0,600,2.001017687568242,3.2854539925619193,3.82933487965024,2.1050919929353653,2.35938850276714,11,False
