useful_mw,ac_corridor_mw,ac_receiving_q_mvar,receiving_voltage_pu,receiving_angle_deg,line_current_kA,source_q_mvar,line_reactive_burden_mvar,converged,voltage_ok,thermal_ok,source_q_ok,binding_constraint,receiving_voltage_real_pu,receiving_voltage_imag_pu
660.0,678.2015738386826,137.7147032235566,0.9753055658854455,-4.102742457506401,2.968604224593835,190.59036947255734,52.875666249000744,True,True,True,True,none,0.9728062084101118,-0.06977841876878041
665.0,683.3394645495817,138.75799642979564,0.9750928743558002,-4.134780948156386,2.9917460809888237,192.46126410380035,53.70326767400471,True,True,True,True,none,0.972554899891252,-0.07030704315339235
670.0,688.4773552604807,139.80128963603468,0.9748797643868424,-4.166836506272599,3.01489932925152,194.33899742448583,54.537707788451144,True,True,True,True,none,0.9723028659915545,-0.07083566753800431
675.0,693.6152459713799,140.84458284227378,0.9746662351080626,-4.198909199360035,3.038064009387942,196.22358038841804,55.37899754614426,True,True,True,True,none,0.9720501055491475,-0.07136429192261631
680.0,698.753136682279,141.88787604851282,0.9744522856446493,-4.2309990951902785,3.061240161564919,198.11502400448552,56.2271479559727,True,True,True,True,none,0.9717966173963166,-0.07189291630722827
685.0,703.8910273931781,142.9311692547519,0.9742379151174636,-4.263106261803277,3.084427826111141,200.01333933697882,57.082170082226924,True,True,True,True,none,0.9715424003594708,-0.07242154069184024
690.0,709.0289181040772,143.97446246099096,0.9740231226430134,-4.295230767509114,3.1076270435182156,201.91853750591108,57.94407504492011,True,True,True,True,none,0.9712874532591086,-0.07295016507645223
695.0,714.1668088149763,145.01775566723,0.9738079073334274,-4.327372680889801,3.1308378544417184,203.83062968733714,58.81287402010713,True,True,True,True,none,0.9710317749097841,-0.07347878946106419
700.0,719.3046995258754,146.06104887346908,0.973592268296428,-4.3595320708011,3.1540602997022718,205.74962711368332,59.68857824021424,True,True,True,True,none,0.9707753641200721,-0.07400741384567616
705.0,724.4425902367745,147.10434207970815,0.9733762046353057,-4.391709006374331,3.1772944202866205,207.6755410740708,60.571198994362646,True,True,True,True,none,0.9705182196925339,-0.07453603823028815
710.0,729.5804809476737,148.14763528594725,0.9731597154488911,-4.42390355701822,3.2005402573487225,209.60838291465268,61.460747628705434,True,True,True,True,none,0.9702603404236813,-0.07506466261490011
715.0,734.7183716585728,149.1909284921863,0.9729427998315289,-4.456115792420748,3.223797852210837,211.54816403893736,62.35723554675107,True,True,True,True,none,0.9700017251039422,-0.07559328699951208
720.0,739.8562623694719,150.23422169842536,0.9727254568730498,-4.488345782551021,3.2470672463646397,213.4948959081361,63.26067420971074,True,True,True,True,none,0.9697423725176244,-0.07612191138412405
725.0,744.994153080371,151.2775149046644,0.9725076856587438,-4.520593597661146,3.270348481472326,215.44859004149066,64.17107513682626,True,True,True,True,none,0.9694822814428801,-0.07665053576873603
730.0,750.1320437912701,152.32080811090347,0.9722894852693316,-4.552859308288138,3.293641599367739,217.40925801662377,65.0884499057203,True,True,True,True,none,0.969221450651669,-0.077179160153348
