time_s,AI_load_MW,grid_traditional_MW,grid_ac_filter_storage_MW,grid_local_sst_MW,grid_local_sst_coord_MW,grid_dc_backbone_MW,dc_buffer_power_MW,dc_buffer_energy_MWh,pcc_v_ac_pct,pcc_v_local_sst_pct,pcc_v_dc_pct,v800_ac_pct,v800_local_sst_pct,v800_dc_pct
183.96,1064.0493500535315,1064.0493500535315,986.7779466386316,1058.898930534819,995.9452231860165,983.740178148181,80.30917190535047,-0.32656140122225236,0.640493500535315,0.5882366111395686,-0.18563200065580532,3.522714252944233,0.5838985183233276,0.2841102874902408
183.98,1064.0723655280453,1064.0723655280453,986.9981586582596,1058.9913133025552,996.2166460638732,983.840468020066,80.23189750797928,-0.3261156684583192,0.6407236552804534,0.5891604388169299,-0.18462910193695506,3.5239801040424936,0.5831115000143263,0.2840017696445261
184.0,1064.1056080392987,1064.1056080392987,987.2178380012256,1059.0826399942828,996.4871200159665,983.940674187381,80.16493385191768,-0.32567030771469735,0.6410560803929867,0.5900737057342053,-0.18362704026380583,3.5258084421614266,0.5825642615777138,0.2839343273549096
184.02,1064.1489925576857,1064.1489925576857,987.437015079734,1059.1731105757722,996.7566892292801,984.0408094163078,80.10818314137794,-0.32522526225280085,0.6414899255768569,0.5909784115490992,-0.1826256879745381,3.5281945906727135,0.5822521328413769,0.2839075949706042
184.04,1064.2024157760366,1064.2024157760366,987.6557199250226,1059.2629195972054,997.0253973031716,984.1408863281176,80.06152944791893,-0.32478047597809023,0.6420241577603656,0.5918765017634314,-0.1816249188564393,3.531132867682011,0.5821701173450311,0.2839211340203879
184.06,1064.2657562880258,1064.2657562880258,987.873982136883,1059.3522559666844,997.2932871796053,984.2409173767567,80.02483891126917,-0.3243358935396943,0.6426575628802584,0.5927698654582219,-0.1806246083700489,3.5346165958414213,0.5823128994360887,0.28397443397106686
184.08,1064.3388747976867,1064.3388747976867,988.0918308339224,1059.4413027315238,997.560401074498,984.3409148267203,79.99795997096635,-0.3238914604287444,0.6433887479768668,0.5936603331066157,-0.17962463387041225,3.538638113872768,0.5826748519408758,0.28406691310978294
184.1,1064.4216143596616,1064.4216143596616,988.309294604651,1059.5302368677405,997.8267804102954,984.4408907312559,79.98072362840571,-0.3234471230752533,0.6442161435966159,0.594549674468783,-0.17862487482505685,3.543188789781388,0.5832500443972894,0.2841979195486115
184.12,1064.5138006497575,1064.5138006497575,988.5264014594803,1059.6192290781337,998.0924657498949,984.5408569109294,79.97294373882812,-0.3230028289433709,0.6451380064975751,0.5954395965727144,-0.1776252130283217,3.5482590357366632,0.5840322518338958,0.28436673234964815
184.14000000000001,1064.6152422653265,1064.6152422653265,988.7431787837135,1059.7084435993336,998.3574967320282,984.6408249325953,79.97441733273126,-0.3225585266248557,0.6461524226532652,0.5963317417847134,-0.1766255328116631,3.553838324592959,0.5850149640796154,0.28457256276859244
184.16,1064.7257310549282,1064.7257310549282,988.9596532916087,1059.7980380181834,998.621912008215,984.7408060888029,79.98492496612539,-0.32211416593059944,0.6472573105492824,0.597227685973212,-0.17562572124958706,3.5599152080210534,0.5861913955869554,0.2848145556145842
184.18,1064.8450424766825,1064.8450424766825,989.1758509815946,1059.8881630977994,998.8857491813961,984.8408113776766,80.00423109900589,-0.32166969798004946,0.6484504247668247,0.5981289367693716,-0.1746256683608499,3.5664773362175364,0.5875544957509247,0.2850917907238536
184.20000000000002,1064.972935984655,1064.972935984655,989.3917970927145,1059.9789626136362,999.1490447463493,984.9408514833033,80.03208450135162,-0.3212250752883753,0.6497293598465489,0.5990369319277397,-0.17362526730458286,3.573511479156019,0.5890969597046029,0.2854032845444899
184.22,1065.1091554425689,1065.1091554425689,989.6075160623722,1060.070573199867,999.4118340319916,985.0409367566607,80.06821868590816,-0.3207802518512314,0.6510915544256886,0.5999530377900487,-0.1726244145710086,3.5810035493412875,0.5908112395714775,0.2857479918294309
184.24,1065.2534295640758,1065.2534295640758,989.823031485454,1060.1631242063709,999.6741511456652,985.1410771971194,80.11235236695632,-0.32033518322697047,0.6525342956407576,0.6008785478550862,-0.17162301016642117,3.588938626024167,0.5926895561535767,0.286124807434541
184.26,1065.4054723787542,1065.4054723787542,990.0383660748936,1060.256737566592,999.9360289195022,985.2412824345497,80.16418994420451,-0.3198898266161693,0.6540547237875421,0.6018146814572969,-0.17062095779211858,3.597300980831482,0.5947239110334076,0.28653256821839435
184.28,1065.5649837229485,1065.5649837229485,990.2535416237484,1060.351527676527,1000.1974988589582,985.3415617120633,80.2234220108852,-0.31944414093833107,0.6556498372294846,0.6027625825566475,-0.1696181650169831,3.6060741047621656,0.5969060990665903,0.28697005504014417
184.3,1065.731649754499,1065.731649754499,990.4685789688504,1060.447601285062,1000.4585910936017,985.4419238694196,80.28972588507929,-0.3189980869056362,0.657316497544989,0.6037233186419985,-0.1686145434434195,3.6152407364974404,0.5992277212412086,0.28743599485163335
184.32,1065.9051434903365,1065.9051434903365,990.6834979560911,1060.5450573958706,1000.7193343302421,985.5423773271236,80.36276616321288,-0.31855162709361834,0.6590514349033652,0.6046978797500834,-0.1676100088663793,3.624782891968508,0.6016801978783173,0.2879290628795757
