panel,cluster_load_gw,pole_voltage_kv,bipole_voltage_kv,single_bipole_current_ka
5b,2.2046979865771816,230,460,4.792821709950395
5b,2.2046979865771816,320,640,3.4448406040268464
5b,2.23758389261745,69,138,16.214376033459786
5b,2.23758389261745,138,276,8.107188016729893
5b,2.23758389261745,230,460,4.864312810037935
5b,2.23758389261745,320,640,3.496224832214766
5b,2.2704697986577185,69,138,16.45267970041825
5b,2.2704697986577185,138,276,8.226339850209126
5b,2.2704697986577185,230,460,4.935803910125475
5b,2.2704697986577185,320,640,3.5476090604026855
5b,2.303355704697987,69,138,16.690983367376717
5b,2.303355704697987,138,276,8.345491683688358
5b,2.303355704697987,230,460,5.007295010213015
5b,2.303355704697987,320,640,3.5989932885906044
5b,2.3362416107382553,69,138,16.929287034335186
5b,2.3362416107382553,138,276,8.464643517167593
5b,2.3362416107382553,230,460,5.078786110300555
5b,2.3362416107382553,320,640,3.650377516778524
5b,2.3691275167785237,69,138,17.16759070129365
5b,2.3691275167785237,138,276,8.583795350646826
5b,2.3691275167785237,230,460,5.150277210388095
5b,2.3691275167785237,320,640,3.7017617449664435
5b,2.4020134228187926,69,138,17.40589436825212
5b,2.4020134228187926,138,276,8.70294718412606
5b,2.4020134228187926,230,460,5.221768310475637
5b,2.4020134228187926,320,640,3.7531459731543637
5b,2.434899328859061,69,138,17.64419803521059
5b,2.434899328859061,138,276,8.822099017605295
5b,2.434899328859061,230,460,5.293259410563177
5b,2.434899328859061,320,640,3.8045302013422835
5b,2.4677852348993294,69,138,17.882501702169055
5b,2.4677852348993294,138,276,8.941250851084527
5b,2.4677852348993294,230,460,5.364750510650717
5b,2.4677852348993294,320,640,3.855914429530203
5b,2.500671140939598,69,138,18.120805369127524
5b,2.500671140939598,138,276,9.060402684563762
5b,2.500671140939598,230,460,5.436241610738257
5b,2.500671140939598,320,640,3.9072986577181217
5b,2.5335570469798663,69,138,18.35910903608599
5b,2.5335570469798663,138,276,9.179554518042995
5b,2.5335570469798663,230,460,5.507732710825797
5b,2.5335570469798663,320,640,3.9586828859060414
