architecture,ac_voltage_ll_kV,ac_line_to_ground_peak_kV,dc_pole_kV,voltage_envelope_factor,current_limit_kA,ac_power_factor,dc_current_retention_factor,converter_cap_multiplier,ac_transfer_capacity_MW,dc_thermal_capacity_MW,converter_cap_MW,transfer_capacity_MW,capacity_multiplier_vs_ac,capacity_increase_pct,binding_constraint,reference_note
Traditional AC,138,112.6765281680262,,,3.772151898734177,0.98,1.0,,883.5984843323196,,,883.5984843323196,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.772151898734177,0.98,1.0,2.0,883.5984843323196,1041.113924050633,1767.1969686646391,1041.113924050633,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.772151898734177,0.98,1.0,2.0,883.5984843323196,1275.098939015385,1767.1969686646391,1275.098939015385,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.8227848101265822,0.98,1.0,,895.4588666723507,,,895.4588666723507,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.8227848101265822,0.98,1.0,2.0,895.4588666723507,1055.0886075949368,1790.9177333447014,1055.0886075949368,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.8227848101265822,0.98,1.0,2.0,895.4588666723507,1292.2143610155915,1790.9177333447014,1292.2143610155915,1.4430750636460157,44.307506364601565,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.8734177215189876,0.98,1.0,,907.319249012382,,,907.319249012382,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.8734177215189876,0.98,1.0,2.0,907.319249012382,1069.0632911392406,1814.638498024764,1069.0632911392406,1.1782658554890324,17.82658554890324,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.8734177215189876,0.98,1.0,2.0,907.319249012382,1309.329783015798,1814.638498024764,1309.329783015798,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.9240506329113924,0.98,1.0,,919.1796313524131,,,919.1796313524131,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.9240506329113924,0.98,1.0,2.0,919.1796313524131,1083.0379746835442,1838.3592627048263,1083.0379746835442,1.1782658554890322,17.826585548903218,thermal_current_limit,
High-voltage DC,138,112.6765281680262,169.01479225203929,1.5,3.9240506329113924,0.98,1.0,2.0,919.1796313524131,1326.4452050160046,1838.3592627048263,1326.4452050160046,1.4430750636460155,44.307506364601544,thermal_current_limit,
Traditional AC,138,112.6765281680262,,,3.9746835443037973,0.98,1.0,,931.0400136924442,,,931.0400136924442,1.0,0.0,thermal_current_limit,
Conservative DC,138,112.6765281680262,138.0,1.224744871391589,3.9746835443037973,0.98,1.0,2.0,931.0400136924442,1097.012658227848,1862.0800273848884,1097.012658227848,1.1782658554890324,17.82658554890324,thermal_current_limit,
