harmonic_order,nominal,low_damping,shifted
10.387959866220735,3.974238653137097,5.187501049125448,2.015916538047634
10.498327759197323,4.046506520205718,5.07298701478255,2.1053434253420393
10.608695652173912,4.105717412914009,4.942799104917776,2.196933331097928
10.719063545150501,4.151049957941463,4.7986545496196715,2.2899599182280945
10.82943143812709,4.181868058881964,4.642407064750811,2.3836173448316758
10.939799331103679,4.197735747730288,4.47600735975819,2.4770299636709465
11.050167224080267,4.198427447639512,4.301462924079173,2.569264463958098
11.160535117056856,4.183933309271264,4.120798240354862,2.6593442751360423
11.270903010033445,4.154459444291786,3.936016509137595,2.7462659622593164
11.381270903010034,4.110423048287712,3.7490638690779177,2.829017257005735
11.491638795986622,4.052442574425697,3.561796964652935,2.90659629132176
11.602006688963211,3.9813232813811106,3.375954557444783,2.978031536105652
11.712374581939798,3.898038627590188,3.193133704608513,3.0424018986622117
11.822742474916387,3.8037081126190846,3.014770847582471,3.0988564028326397
11.933110367892976,3.699572270286845,2.8421279732527394,3.1466328668515673
12.043478260869565,3.5869655932804787,2.6762838361190475,3.1850750073292975
12.153846153846153,3.467288212942309,2.5181300700926963,3.213647433497735
12.264214046822742,3.3419771697926057,2.368371877829989,3.231948053123212
12.37458193979933,3.2124780907920023,2.2275328681012585,3.23971748835455
12.48494983277592,3.080218040399141,2.0959635203439815,3.2368451933375195
12.595317725752508,2.946580237463303,1.9738526915590446,3.223372071937819
12.705685618729097,2.8128812332814936,1.8612415440400643,3.199489508960639
12.816053511705686,2.6803510328934497,1.7580392618143665,3.165534846981793
12.926421404682273,2.550116517510663,1.6640399368228094,3.1219834582686206
13.036789297658862,2.423188396666253,1.5789400396613873,3.069437672294396
13.14715719063545,2.3004517898850056,1.5023559404645124,3.008612919392104
13.25752508361204,2.182660414650031,1.4338410092132696,2.9403215360714974
13.367892976588628,2.0704342447840833,1.3729018972930647,2.865454744125131
13.478260869565217,1.9642604048439392,1.3190136795117395,2.784963361487038
13.588628762541806,1.8644969845728312,1.2716336143252658,2.699837826521203
13.698996655518394,1.7713793946875556,1.2302133564436126,2.6110881187137975
13.809364548494983,1.685028842102479,1.1942095275793703,2.5197241383809805
13.919732441471572,1.6054624789647642,1.1630926157238017,2.4267370677139763
14.03010033444816,1.532604774589025,1.13635422946709,2.333082177841704
14.14046822742475,1.4662996708097626,1.1135127805936569,2.2396634748523123
14.250836120401337,1.40632310712979,1.0941177051003068,2.1473204956106335
14.361204013377925,1.3523955396585503,1.0777523600073036,2.056817475735848
