campus_count,cluster_load_GW,voltage_kV,short_circuit_ratio,phase_mode,corridor_length_km,Local SST,Subtransmission DC backbone,Traditional AC,dc_vs_traditional_reduction_pct,dc_vs_local_reduction_pct,local_vs_traditional_reduction_pct,dc_p95_minus_traditional_p95_pctpt,dc_p95_minus_local_p95_pctpt
1,0.25,138,20,random,100,1.4790256064610412,0.42186953011091305,3.9307264326674782,89.26739020541241,71.47652290345756,62.37271578685415,-3.5088569025565652,-1.0571560763501282
1,0.25,230,3,coherent,5,6.806991622425442,2.551269018516688,19.059375262515246,86.61409944776962,62.51987426998434,64.28533711798521,-16.508106243998558,-4.255722603908754
1,0.25,230,3,coherent,20,8.377375965209401,2.4991938139625525,21.701013992271317,88.48351595527922,70.16734327859328,61.39638466574442,-19.201820178308765,-5.878182151246849
1,0.25,230,3,coherent,50,9.038730004826421,2.576512812178242,24.46450233253618,89.46836204899353,71.49474748330287,63.053693543540824,-21.88798952035794,-6.462217192648179
1,0.25,230,3,coherent,100,10.161850037667023,2.7788730366858827,27.18779096217338,89.77896718217323,72.65386690036352,62.623480326866954,-24.408917925487497,-7.38297700098114
1,0.25,230,3,partial,5,6.758156067925093,2.431707029980869,18.83006262853462,87.08603854404649,64.01818771954673,64.10975257361096,-16.39835559855375,-4.326449037944224
1,0.25,230,3,partial,20,7.648125391665004,2.6500445640679233,20.961950412630696,87.35783401876989,65.35040381325382,63.51424728561233,-18.311905848562773,-4.9980808275970805
1,0.25,230,3,partial,50,8.83086150821021,2.615456515450986,24.129418030008992,89.16071447641951,70.38277054827155,63.40209491489788,-21.513961514558005,-6.2154049927592245
1,0.25,230,3,partial,100,10.35444951175222,2.6457436363892555,26.752528350686543,90.1103043356971,74.44824436696169,61.2954357957479,-24.106784714297287,-7.7087058753629645
1,0.25,230,3,random,5,6.843308971527757,2.7192630232842276,18.98065803018325,85.67350500198663,60.26391567883341,63.9458813248442,-16.261395006899022,-4.12404594824353
1,0.25,230,3,random,20,7.731702984842849,2.480960058581808,21.15312625661331,88.2714260365833,67.91185507972233,63.44888745498973,-18.6721661980315,-5.250742926261042
1,0.25,230,3,random,50,8.736820505304248,2.615156153529236,24.603401562462768,89.37075368668063,70.06741580714018,64.48937971799009,-21.988245408933533,-6.121664351775012
