scenario,run,h,vh_pct
Traditional AC,46,11,2.2296922574425904
Traditional AC,46,13,0.567480576621531
Traditional AC,46,17,0.3594478392301375
Traditional AC,46,19,0.17790895035848903
Traditional AC,46,23,0.3624766230558774
Traditional AC,46,25,0.884921636119524
Traditional AC,46,29,0.1650470977161085
Traditional AC,46,31,0.4586954502670468
Traditional AC,47,5,0.4002647031318011
Traditional AC,47,7,0.6003638513273999
Traditional AC,47,11,0.9477576888010418
Traditional AC,47,13,0.4136632364757508
Traditional AC,47,17,0.38285331234801945
Traditional AC,47,19,0.2241712439266101
Traditional AC,47,23,0.9214893139096478
Traditional AC,47,25,0.19495720027349817
Traditional AC,47,29,0.23234508545676893
Traditional AC,47,31,0.2717649441474013
Traditional AC,48,5,0.6618424167193775
Traditional AC,48,7,0.5068714752060756
Traditional AC,48,11,0.5439130802650799
Traditional AC,48,13,1.279479348065739
Traditional AC,48,17,0.2849222761130669
Traditional AC,48,19,0.5871166289253306
Traditional AC,48,23,0.4143019658229295
Traditional AC,48,25,0.6853078543757937
Traditional AC,48,29,0.26166952142474165
Traditional AC,48,31,0.2907518110661493
Traditional AC,49,5,0.2639166546929086
Traditional AC,49,7,0.41513460922374273
Traditional AC,49,11,1.0416568193984506
Traditional AC,49,13,0.6881727674849678
Traditional AC,49,17,0.3694337404512073
Traditional AC,49,19,0.6681984498160203
Traditional AC,49,23,0.28731584091007134
Traditional AC,49,25,0.4331475497305982
Traditional AC,49,29,0.2590191107121863
Traditional AC,49,31,0.1578776203756053
Traditional AC,50,5,0.13903180468599188
Traditional AC,50,7,0.41407202971118534
Traditional AC,50,11,1.919264433842238
Traditional AC,50,13,2.3810483987991526
Traditional AC,50,17,0.34972773993389755
Traditional AC,50,19,0.21259565011171147
Traditional AC,50,23,0.9754075133285408
Traditional AC,50,25,0.37336369552682613
Traditional AC,50,29,0.28327924007558203
Traditional AC,50,31,0.29556327967656865
Traditional AC,51,5,0.21004510728525141
Traditional AC,51,7,0.5099693035737392
Traditional AC,51,11,1.0749253696819119
Traditional AC,51,13,0.7259071699699142
Traditional AC,51,17,0.23046463433096592
Traditional AC,51,19,0.0945452592254456
Traditional AC,51,23,0.7053758385131099
Traditional AC,51,25,0.19057653104067918
Traditional AC,51,29,0.05119856529407589
Traditional AC,51,31,0.21989993174455477
Traditional AC,52,5,0.735634310023796
