dataset_id,dataset_role,pocket_id,scenario_id,architecture,thdv_p50_pct,thdv_p95_pct,thdv_max_pct,source_count
A,Full Texas Combined T&D,A-mpc-0054,C3,Converted DC backbone,0.20095277603200623,0.2704006966595998,0.31241346964460487,1
A,Full Texas Combined T&D,A-mpc-0058,C0,C0/C1 Traditional 400 V AC,3.5450922138629544,5.67293794147251,8.306988994112617,3
A,Full Texas Combined T&D,A-mpc-0058,C2,MV SST,1.0970209631992727,1.7929863125534482,2.4036274759616143,3
A,Full Texas Combined T&D,A-mpc-0058,C3,Converted DC backbone,0.20283689588089054,0.278552842458585,0.32221882041372896,1
A,Full Texas Combined T&D,A-mpc-0062,C0,C0/C1 Traditional 400 V AC,3.530541160275239,5.834834051408707,8.005631828368024,3
A,Full Texas Combined T&D,A-mpc-0062,C2,MV SST,1.1044497874300474,1.8287722784326026,2.4811226430129416,3
A,Full Texas Combined T&D,A-mpc-0062,C3,Converted DC backbone,0.2013244725783232,0.2706918307717485,0.31683155115797,1
A,Full Texas Combined T&D,A-mpc-0063,C0,C0/C1 Traditional 400 V AC,3.5056842878247108,5.76457262719893,7.294000191090928,3
A,Full Texas Combined T&D,A-mpc-0063,C2,MV SST,1.121423407976022,1.8288299443887814,2.434438491607548,3
A,Full Texas Combined T&D,A-mpc-0063,C3,Converted DC backbone,0.20235747490168093,0.2697078441053188,0.3215325902591732,1
A,Full Texas Combined T&D,A-mpc-0064,C0,C0/C1 Traditional 400 V AC,3.564243419252503,5.893087833213692,7.298904287438016,3
A,Full Texas Combined T&D,A-mpc-0064,C2,MV SST,1.1249409465850944,1.77544214004244,2.7585867794055225,3
A,Full Texas Combined T&D,A-mpc-0064,C3,Converted DC backbone,0.20338704422546622,0.27458690503852085,0.3187366260873569,1
A,Full Texas Combined T&D,A-mpc-0065,C0,C0/C1 Traditional 400 V AC,3.4240796887764096,5.642148294050673,7.950090918794587,3
A,Full Texas Combined T&D,A-mpc-0065,C2,MV SST,1.1122202747555656,1.858252358328158,2.550552687156214,3
A,Full Texas Combined T&D,A-mpc-0065,C3,Converted DC backbone,0.20311433630115555,0.27545947922808617,0.3318543729058224,1
A,Full Texas Combined T&D,A-mpc-0069,C0,C0/C1 Traditional 400 V AC,3.476957560038653,5.8716170756394,8.723446910394918,3
A,Full Texas Combined T&D,A-mpc-0069,C2,MV SST,1.1439267034593001,1.8450087687024936,2.761110684507268,3
A,Full Texas Combined T&D,A-mpc-0069,C3,Converted DC backbone,0.20395801250986528,0.27559526583805605,0.31309044919650203,1
A,Full Texas Combined T&D,A-mpc-0070,C0,C0/C1 Traditional 400 V AC,3.4888164004029063,5.819803137470572,7.465865787234391,3
A,Full Texas Combined T&D,A-mpc-0070,C2,MV SST,1.0987535638414405,1.8371863875500463,2.7467325342711737,3
A,Full Texas Combined T&D,A-mpc-0070,C3,Converted DC backbone,0.2018507636844734,0.27115725626770265,0.31013936471437004,1
A,Full Texas Combined T&D,A-mpc-0071,C0,C0/C1 Traditional 400 V AC,3.4955094882841955,5.5475609242524815,7.166746391656783,3
A,Full Texas Combined T&D,A-mpc-0071,C2,MV SST,1.0971187219264686,1.7902378753444195,2.23502251674888,3
A,Full Texas Combined T&D,A-mpc-0071,C3,Converted DC backbone,0.20119522588486738,0.272690593289443,0.31201421039147276,1
A,Full Texas Combined T&D,A-mpc-0072,C0,C0/C1 Traditional 400 V AC,3.4311112598272833,5.674101792394313,7.2084205602664175,3
A,Full Texas Combined T&D,A-mpc-0072,C2,MV SST,1.0758959992077815,1.7982738350144194,2.2551188636970423,3
