time_s,poi_voltage_pu,poi_angle_rad,poi_bus,event
0.04,1.01670801,-0.13734454,150,2
0.06,1.01681083,-0.13807864,150,2
0.08,1.01684617,-0.13858181,150,2
0.1,1.01682941,-0.1389798,150,2
0.12,1.01678109,-0.13934732,150,2
0.14,1.01671722,-0.13972527,150,2
0.16,1.01664852,-0.14013491,150,2
0.18,1.01658159,-0.14058677,150,2
0.2,1.01652022,-0.14108575,150,2
0.22,1.01646632,-0.14163383,150,2
0.24,1.01642061,-0.14223148,150,2
0.26,1.01638305,-0.14287841,150,2
0.28,1.01635317,-0.14357394,150,2
0.3,1.01633025,-0.14431718,150,2
0.32,1.01631347,-0.14510715,150,2
0.34,1.01630196,-0.14594283,150,2
0.36,1.01629492,-0.14682315,150,2
0.38,1.01629159,-0.14774707,150,2
0.4,1.01629128,-0.14871354,150,2
0.42,1.01629342,-0.14972153,150,2
0.44,1.0162975,-0.15077001,150,2
0.46,1.01630309,-0.15185799,150,2
0.48,1.01630985,-0.15298446,150,2
0.5,1.01631747,-0.15414846,150,2
0.52,1.01632573,-0.15534902,150,2
0.54,1.01633442,-0.1565852,150,2
0.56,1.01634339,-0.15785608,150,2
0.58,1.01635251,-0.15916072,150,2
0.6,1.01636168,-0.16049825,150,2
0.62,1.01637081,-0.16186776,150,2
0.64,1.01637983,-0.16326839,150,2
0.66,1.01638868,-0.16469928,150,2
0.68,1.01639732,-0.16615958,150,2
0.7,1.0164057,-0.16764846,150,2
0.72,1.01641378,-0.16916511,150,2
0.74,1.01642154,-0.1707087,150,2
0.76,1.01642896,-0.17227845,150,2
0.78,1.01643601,-0.17387357,150,2
0.8,1.01644267,-0.17549327,150,2
0.82,1.01644893,-0.1771368,150,2
0.84,1.01645478,-0.17880339,150,2
0.86,1.01646021,-0.18049229,150,2
0.88,1.01646523,-0.18220276,150,2
0.9,1.01646984,-0.18393405,150,2
0.92,1.01647403,-0.18568545,150,2
0.94,1.01647782,-0.18745622,150,2
0.96,1.01648122,-0.18924564,150,2
0.98,1.01648425,-0.19105301,150,2
1.0,0.10224176,0.02029028,150,2
1.02,0.09603573,0.17736983,150,2
1.04,0.09359132,0.21213263,150,2
1.06,0.0919935,0.22889503,150,2
1.08,0.90856399,0.01010291,150,2
1.1,0.94997064,-0.05878762,150,2
1.12,0.97747884,-0.08318458,150,2
1.14,0.99612096,-0.08684795,150,2
1.16,1.0098213,-0.08052376,150,2
1.18,1.02085653,-0.06938779,150,2
1.2,1.0301645,-0.05617392,150,2
1.22,1.03832361,-0.04222329,150,2
1.24,1.04551542,-0.02826351,150,2
1.26,1.05171547,-0.01470013,150,2
1.28,1.05664112,-0.00178196,150,2
1.3,1.06032734,0.01043578,150,2
1.32,1.0628999,0.02191223,150,2
1.34,1.06450612,0.0326074,150,2
1.36,1.06529789,0.04248543,150,2
1.38,1.0654211,0.05151728,150,2
1.4,1.06500934,0.05968239,150,2
1.42,1.06418067,0.06696959,150,2
1.44,1.06303649,0.07337712,150,2
1.46,1.06166178,0.07891232,150,2
1.48,1.0601263,0.08359079,150,2
1.5,1.05848618,0.08743529,150,2
1.52,1.05678588,0.0904745,150,2
1.54,1.05506012,0.09274166,150,2
1.56,1.05333568,0.09427318,150,2
1.58,1.05163314,0.09510733,150,2
1.6,1.04996823,0.09528303,150,2
1.62,1.04835312,0.09483872,150,2
1.64,1.04679727,0.0938116,150,2
1.66,1.04530816,0.09223684,150,2
1.68,1.04389177,0.09014727,150,2
1.7,1.04255285,0.08757307,150,2
1.72,1.04129508,0.08454178,150,2
1.74,1.04012115,0.08107846,150,2
1.76,1.03903267,0.07720597,150,2
1.78,1.03803016,0.07294532,150,2
