time_s,poi_voltage_pu,griddyn_field
7.980000,1.00000000,travis_proxy_event_voltage
8.000000,1.00000000,travis_proxy_event_voltage
8.020000,1.00000000,travis_proxy_event_voltage
8.040000,1.00000000,travis_proxy_event_voltage
8.060000,1.00000000,travis_proxy_event_voltage
8.080000,1.00000000,travis_proxy_event_voltage
8.100000,1.00000000,travis_proxy_event_voltage
8.120000,1.00000000,travis_proxy_event_voltage
8.140000,1.00000000,travis_proxy_event_voltage
8.160000,1.00000000,travis_proxy_event_voltage
8.180000,1.00000000,travis_proxy_event_voltage
8.200000,1.00000000,travis_proxy_event_voltage
8.220000,1.00000000,travis_proxy_event_voltage
8.240000,1.00000000,travis_proxy_event_voltage
8.260000,1.00000000,travis_proxy_event_voltage
8.280000,1.00000000,travis_proxy_event_voltage
8.300000,1.00000000,travis_proxy_event_voltage
8.320000,1.00000000,travis_proxy_event_voltage
8.340000,1.00000000,travis_proxy_event_voltage
8.360000,1.00000000,travis_proxy_event_voltage
8.380000,1.00000000,travis_proxy_event_voltage
8.400000,1.00000000,travis_proxy_event_voltage
8.420000,1.00000000,travis_proxy_event_voltage
8.440000,1.00000000,travis_proxy_event_voltage
8.460000,1.00000000,travis_proxy_event_voltage
8.480000,1.00000000,travis_proxy_event_voltage
8.500000,1.00000000,travis_proxy_event_voltage
8.520000,1.00000000,travis_proxy_event_voltage
8.540000,1.00000000,travis_proxy_event_voltage
8.560000,1.00000000,travis_proxy_event_voltage
8.580000,1.00000000,travis_proxy_event_voltage
8.600000,1.00000000,travis_proxy_event_voltage
8.620000,1.00000000,travis_proxy_event_voltage
8.640000,1.00000000,travis_proxy_event_voltage
8.660000,1.00000000,travis_proxy_event_voltage
8.680000,1.00000000,travis_proxy_event_voltage
8.700000,1.00000000,travis_proxy_event_voltage
8.720000,1.00000000,travis_proxy_event_voltage
8.740000,1.00000000,travis_proxy_event_voltage
8.760000,1.00000000,travis_proxy_event_voltage
8.780000,1.00000000,travis_proxy_event_voltage
8.800000,1.00000000,travis_proxy_event_voltage
8.820000,1.00000000,travis_proxy_event_voltage
8.840000,1.00000000,travis_proxy_event_voltage
8.860000,1.00000000,travis_proxy_event_voltage
8.880000,1.00000000,travis_proxy_event_voltage
8.900000,1.00000000,travis_proxy_event_voltage
8.920000,1.00000000,travis_proxy_event_voltage
8.940000,1.00000000,travis_proxy_event_voltage
8.960000,1.00000000,travis_proxy_event_voltage
8.980000,1.00000000,travis_proxy_event_voltage
9.000000,1.00000000,travis_proxy_event_voltage
9.020000,1.00000000,travis_proxy_event_voltage
9.040000,1.00000000,travis_proxy_event_voltage
9.060000,1.00000000,travis_proxy_event_voltage
9.080000,1.00000000,travis_proxy_event_voltage
9.100000,1.00000000,travis_proxy_event_voltage
9.120000,1.00000000,travis_proxy_event_voltage
9.140000,1.00000000,travis_proxy_event_voltage
9.160000,1.00000000,travis_proxy_event_voltage
9.180000,1.00000000,travis_proxy_event_voltage
9.200000,1.00000000,travis_proxy_event_voltage
9.220000,1.00000000,travis_proxy_event_voltage
9.240000,1.00000000,travis_proxy_event_voltage
9.260000,1.00000000,travis_proxy_event_voltage
9.280000,1.00000000,travis_proxy_event_voltage
9.300000,1.00000000,travis_proxy_event_voltage
9.320000,1.00000000,travis_proxy_event_voltage
9.340000,1.00000000,travis_proxy_event_voltage
9.360000,1.00000000,travis_proxy_event_voltage
9.380000,1.00000000,travis_proxy_event_voltage
9.400000,1.00000000,travis_proxy_event_voltage
9.420000,1.00000000,travis_proxy_event_voltage
9.440000,1.00000000,travis_proxy_event_voltage
9.460000,1.00000000,travis_proxy_event_voltage
9.480000,1.00000000,travis_proxy_event_voltage
9.500000,1.00000000,travis_proxy_event_voltage
9.520000,1.00000000,travis_proxy_event_voltage
9.540000,1.00000000,travis_proxy_event_voltage
9.560000,1.00000000,travis_proxy_event_voltage
9.580000,1.00000000,travis_proxy_event_voltage
9.600000,1.00000000,travis_proxy_event_voltage
9.620000,1.00000000,travis_proxy_event_voltage
9.640000,1.00000000,travis_proxy_event_voltage
9.660000,1.00000000,travis_proxy_event_voltage
9.680000,1.00000000,travis_proxy_event_voltage
9.700000,1.00000000,travis_proxy_event_voltage
9.720000,1.00000000,travis_proxy_event_voltage
9.740000,1.00000000,travis_proxy_event_voltage
9.760000,1.00000000,travis_proxy_event_voltage
9.780000,1.00000000,travis_proxy_event_voltage
9.800000,1.00000000,travis_proxy_event_voltage
9.820000,1.00000000,travis_proxy_event_voltage
9.840000,1.00000000,travis_proxy_event_voltage
9.860000,1.00000000,travis_proxy_event_voltage
9.880000,1.00000000,travis_proxy_event_voltage
9.900000,1.00000000,travis_proxy_event_voltage
9.920000,1.00000000,travis_proxy_event_voltage
9.940000,1.00000000,travis_proxy_event_voltage
9.960000,1.00000000,travis_proxy_event_voltage
9.980000,1.00000000,travis_proxy_event_voltage
10.000000,1.00000000,travis_proxy_event_voltage
10.020000,1.00000000,travis_proxy_event_voltage
10.040000,1.00000000,travis_proxy_event_voltage
10.060000,1.00000000,travis_proxy_event_voltage
10.080000,1.00000000,travis_proxy_event_voltage
10.100000,1.00000000,travis_proxy_event_voltage
10.120000,1.00000000,travis_proxy_event_voltage
10.140000,1.00000000,travis_proxy_event_voltage
10.160000,1.00000000,travis_proxy_event_voltage
10.180000,1.00000000,travis_proxy_event_voltage
10.200000,1.00000000,travis_proxy_event_voltage
10.220000,1.00000000,travis_proxy_event_voltage
10.240000,1.00000000,travis_proxy_event_voltage
10.260000,1.00000000,travis_proxy_event_voltage
10.280000,1.00000000,travis_proxy_event_voltage
10.300000,1.00000000,travis_proxy_event_voltage
10.320000,1.00000000,travis_proxy_event_voltage
10.340000,1.00000000,travis_proxy_event_voltage
