# travis150_greenfield_proxy_recorder: 
"time", "travis_source:voltage", "travis_poi:voltage", "travis_source:angle", "travis_poi:angle", "travis_source:busgenerationreal", "travis_poi:busgenerationreal", "travis_source:busloadreal", "travis_poi:busloadreal"
4.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
4.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
5.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.62s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.64s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.66s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.68s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.72s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.74s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.76s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.78s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.8s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.82s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.84s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.86s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.88s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.9s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.92s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.94s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.96s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
6.98s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.02s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.04s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.06s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.08s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.1s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.12s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.14s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.16s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.18s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.2s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.22s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.24s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.26s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.28s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.3s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.32s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.34s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.36s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.38s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.4s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.42s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.44s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.46s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.48s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.5s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.52s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.54s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.56s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.58s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
7.6s,1,0.96903307,0,-0.074811796,-1.0097874,0,0,1
